type,id,locator,portuguese_source,english_applied,reviewed_english,brand,keywords,search_text,notes
food,54cd31d5-ff68-5dd5-b97a-cfb69dfdf576,,"Abacate, Hass","Avocado, Hass",,,"[""abacate"",""abacates"",""avocado"",""avocados"",""hass"",""fruta"",""fruit""]",avocado hass avocado hass avocados,
food,cddc8011-faa5-59a5-a68d-ee341551cc95,,Abrótea cozida,Abrotea Cooked,"Forkbeard, Cooked",,"[""abrótea"",""abrotea"",""forkbeard"",""fish"",""cozida"",""cooked"",""boiled""]",abrotea cooked abrotea cooked forkbeard,
food,88c97fb2-3e64-505d-acce-25cae3365204,,Abrótea crua,Abrotea Raw,"Forkbeard, Raw",,"[""abrótea"",""abrotea"",""forkbeard"",""fish"",""crua"",""raw""]",abrotea raw abrotea raw forkbeard,
food,53d4bcaf-e25f-5118-8b36-f812e6089ae4,,Abóbora Butternut,Butternut Squash,,,"[""abóbora"",""butternut"",""squash"",""abobora"",""pumpkin""]",butternut squash butternut squash pumpkin,
food,6eeb775e-4a52-55a9-93e5-72ef72c24117,,Abóbora cristalizada,Candied Pumpkin,,,"[""abóbora"",""abobora"",""pumpkin"",""squash"",""cristalizada"",""candied""]",candied pumpkin candied pumpkin squash cristalizada,
food,166e4029-9a49-55d0-8200-dca5d0471910,,Abóbora crua,Raw Pumpkin,,,"[""abóbora"",""abobora"",""pumpkin"",""squash"",""crua"",""raw""]",raw pumpkin raw pumpkin squash,
food,da5f33dd-6f05-5bd5-b690-0ac74e8a7c2a,,Acelga crua,Swiss Chard Raw,"Swiss Chard, Raw",,"[""acelga"",""chard"",""crua"",""raw"",""swiss""]",swiss chard raw swiss chard raw,
food,1f37ad0e-f07c-594a-a492-755025af86b5,,Agrião cru,Watercress Raw,"Watercress, Raw",,"[""agrião"",""agriao"",""watercress"",""cru"",""raw""]",watercress raw watercress raw,
food,9a586faf-e18d-55fd-a5ec-dbb30858284d,,Aguardente,Aguardente,Aguardente,,"aguardente, brandy, spirit",aguardente aguardente brandy spirit,
food,05e08c1c-3814-52c3-82d1-414239eb2638,,Aipo,Celery,,,"[""aipo"",""celery""]",celery celery aipo,
food,00bd5ad1-fd05-56bd-b28a-386badfec7ad,,Aipo cru,Celery Raw,"Celery, Raw",,"[""aipo"",""celery"",""cru"",""raw""]",celery raw celery raw aipo,
food,486b2af2-7d6a-5f74-aae1-565c72661ff8,,Alcachofra cozida,Artichoke Cooked,"Artichoke, Cooked",,"[""alcachofra"",""artichoke"",""cozida"",""cooked"",""boiled""]",artichoke cooked artichoke cooked alcachofra,
food,4ce2797f-3556-5795-bc9c-5df29a662f15,,Alcachofra crua,Artichoke Raw,"Artichoke, Raw",,"[""alcachofra"",""artichoke"",""crua"",""raw""]",artichoke raw artichoke raw alcachofra,
food,feb65869-9c0d-5939-ad6d-d3d41bc174c4,,Alcaparras (em vinagre),Capers (in Vinegar),,,"[""alcaparras"",""cappers"",""vinagre"",""vinegar"",""pickles"",""alcaparra"",""capers"",""in""]",capers in vinegar capers in vinegar cappers pickles,
food,1f7a9e8a-5164-578f-ac06-4fa65e2b1d76,,Alcaparras (picles),Capers,,,"[""alcaparras"",""alcaparra"",""capers"",""picles"",""picle""]",capers capers picle,
food,99f99ed4-edb4-5793-9218-f0ec7e837aa9,,Alecrim fresco,Rosemary Fresh,"Rosemary, Fresh",,"[""alecrim"",""rosemary"",""fresco"",""fresh""]",rosemary fresh rosemary fresh,
food,74dda6d5-28a5-51f5-8114-08fd1ac0bc01,,"Alecrim, seco",Rosemary Dried,"Rosemary, Dried",,"[""alecrim"",""rosemary"",""seco"",""dried""]",rosemary dried rosemary dried,
food,4edd6351-b877-5ff7-ae43-22da0021cc6b,,Alface,Lettuce,,,"[""alface"",""lettuce""]",lettuce lettuce,
food,3d191817-6b2d-5ed1-85d7-80d4a44966fa,,Alface roxa,Lettuce Red,,,"[""alface"",""lettuce"",""roxa"",""purple"",""red""]",lettuce red lettuce red,
food,a24894cc-747d-5901-9213-cb9ed342d639,,Alheira cozida sem adição de sal,Alheira Sausage Cooked without Added Salt,"Alheira Sausage, Cooked without Added Salt",,"[""alheira"",""sausage"",""cozida"",""cooked"",""boiled"",""sal"",""salt"",""without"",""added""]",alheira sausage cooked without added salt alheira sausage cooked without added salt,
food,7aa09da0-b029-5353-a0b8-e94346c559bb,,Alheira crua,Alheira Sausage Raw,"Alheira Sausage, Raw",,"[""alheira"",""sausage"",""crua"",""raw""]",alheira sausage raw alheira sausage raw,
food,e5c57527-13c3-561c-995c-586eabb9e994,,Alheira grelhada sem adição de sal,Alheira Sausage Grilled without Added Salt,"Alheira Sausage, Grilled without Added Salt",,"[""alheira"",""sausage"",""grelhada"",""grilled"",""sal"",""salt"",""without"",""added""]",alheira sausage grilled without added salt alheira sausage grilled without added salt,
food,d31e4c70-9a41-5eb8-9bfd-247f9e5f1107,,Alho (dente),Garlic Clove,,,"[""dente"",""alhos"",""garlic"",""cloves"",""alho"",""clove""]",garlic clove garlic clove cloves,
food,d1fc6089-efaf-55d7-9e52-52d38d134f5e,,Alho cru,Raw Garlic,,,"[""alho"",""alhos"",""dente"",""dentes"",""garlic"",""raw"",""cru"",""legume"",""vegetable""]",raw garlic raw garlic,
food,cd16a896-2718-58fa-a1df-18458a71dd71,,Alho em pó,Garlic Powder,,,"[""alho"",""garlic"",""powder""]",garlic powder garlic powder,
food,a6a91c62-1998-5a00-9e64-8010ed1ea7db,,Alho francês,Leek,,,"[""alhos"",""francês"",""leeks"",""alho"",""garlic"",""frances"",""francê"",""leek"",""france""]",leek leek frances leeks garlic france,
food,17b968b6-a069-58a7-ab35-6639df132527,,Alho-francês cru,Alho-frances Raw,"Leek, Raw",,"[""alho-francês"",""alho francês"",""alho"",""francês"",""alho porro"",""alho-porro"",""leek"",""leeks"",""raw"",""cru"",""legume"",""vegetable"",""garlic"",""frances"",""francê"",""porro"",""france""]",alho frances raw alho frances raw porro leek leeks garlic france,
food,ea7c927b-2bba-539b-b484-958b98721665,,Almôndegas de porco,Meatballs Pork,,,"[""almôndegas"",""almondegas"",""almôndega"",""porco"",""pork"",""meatballs"",""almondega""]",meatballs pork meatballs pork almondegas almondega,
food,e41b58a0-9fec-5fc2-b349-bd905452c686,,Almôndegas de vaca,Meatballs Beef,,,"[""almôndegas"",""almondegas"",""almôndega"",""vaca"",""beef"",""meatballs"",""almondega""]",meatballs beef meatballs beef almondegas almondega vaca,
food,59f9a181-ab77-5afa-9667-8d44c1a871e4,,Almôndegas de vaca e porco ,Meatballs Beef Pork,,,"[""almôndegas"",""almondegas"",""almôndega"",""vaca"",""beef"",""porco"",""pork"",""meatballs"",""almondega""]",meatballs beef pork meatballs beef pork almondegas almondega vaca,
food,90d58ff5-9d83-5e97-ad27-42d894628daa,,Ameixa branca,Plum White,,,"[""ameixa"",""ameixas"",""branca"",""brancas"",""plum"",""plums"",""white"",""fruta"",""fruit""]",plum white plum white brancas plums,
food,12af5244-9fac-524e-a80f-33f088ba140a,,Ameixa encarnada,Plum Encarnada,Plum Red,,"[""ameixa"",""ameixas"",""encarnada"",""vermelha"",""red"",""plum"",""plums"",""fruta"",""fruit""]",plum encarnada plum encarnada plums,
food,2e88e714-5517-5f29-b59b-5235a26dc31b,,Ameixa rainha Cláudia,Plum Rainha Claudia,,,"[""ameixa"",""ameixas"",""rainha"",""cláudia"",""claudia"",""greengage"",""plum"",""plums"",""fruta"",""fruit""]",plum rainha claudia plum rainha claudia greengage plums,
food,67904f74-3bf8-5208-bbda-dfda2f2fec72,,Ameixa seca,Plum Dried,"Plum, Dried",,"[""ameixa"",""seca"",""dried"",""plum""]",plum dried plum dried,
food,36f75c07-84f9-56d6-8e54-99e4d0beccb3,,"Ameixa, conserva em calda de açúcar",Plum Canned in Sugar Syrup,,,"[""ameixa"",""conserva"",""canned"",""calda"",""açúcar"",""acucar"",""sugar"",""plum"",""in"",""syrup""]",plum canned in sugar syrup plum canned in sugar syrup,
food,a7f93b29-9ec9-505a-8f32-67e134f7272c,,Ameixas,Plums,,,"[""ameixas"",""prunes"",""ameixa"",""plums""]",plums plums prunes,
food,581a382c-1edd-50e4-939c-f48593364a27,,"Amendoim, miolo",Peanut Kernels,,,"[""amendoim"",""peanut"",""miolo"",""kernels""]",peanut kernels peanut kernels,
food,1b08ba0c-34cb-5ee8-8097-2f80ea5a4986,,"Amendoim, miolo, torrado com sal",Roasted Peanut Kernels Salted,"Roasted Peanut Kernels, Salted",,"[""amendoim"",""peanut"",""miolo"",""torrado"",""sal"",""salt"",""roasted"",""kernels"",""salted""]",roasted peanut kernels salted roasted peanut kernels salted,
food,5d6df574-47fd-5ee6-bf86-cc76746f6a85,,"Amendoim, miolo, torrado sem sal",Roasted Peanut Kernels Unsalted,"Roasted Peanut Kernels, Unsalted",,"[""amendoim"",""peanut"",""miolo"",""torrado"",""sal"",""salt"",""roasted"",""kernels"",""unsalted""]",roasted peanut kernels unsalted roasted peanut kernels unsalted,
food,651cef06-5c0d-5a08-bdff-9de5b877a316,,Amendoins (com casca),Peanuts (in Shell),,,"[""amendoins"",""casca"",""shell"",""peanuts"",""amendoin"",""in""]",peanuts in shell peanuts in shell amendoin,
food,e757b60b-46e6-5d39-b83c-c575e7cade53,,Amendoins (sem casca),Peanuts (shelled),,,"[""amendoins"",""descascados"",""without"",""shell"",""peanuts"",""amendoin"",""casca"",""shelled""]",peanuts shelled peanuts shelled shell amendoin,
food,f0de3068-bbc8-55c0-b984-934bfefac837,,American Donut,American Donut,,,"[""donuts"",""americanos"",""doughnuts"",""american"",""donut""]",american donut american donut donuts americanos doughnuts,
food,a40d5457-a4c7-52ee-b82e-dc25a5571700,,Amido de Milho,Corn Starch,,Maizena,"[""farinha"",""amido"",""milho"",""maise"",""starch"",""flour"",""corn"",""maize"",""maizena""]",corn starch maizena corn starch maizena amido maise flour maize,
food,8718d4b4-ed64-57b1-8968-584d6b4e5b2d,,Amora,Blackberry,,,"[""amora"",""blackberry""]",blackberry blackberry,
food,9bd74610-446a-57cd-9890-0d371073f609,,Amoras,Blackberries,,,"[""amoras"",""blackberry"",""blackberries"",""loganberry"",""loganberries"",""boysenberry"",""boysenberries"",""amora""]",blackberries blackberries blackberry loganberry loganberries boysenberry boysenberries,
food,8ab79c34-e18a-5587-b030-666147ac0b60,,Amêijoa aberta ao natural sem sal,Clam Aberta Natural Salt,"Clam Opened Natural, Unsalted",,"[""amêijoa"",""ameijoa"",""clam"",""aberta"",""sal"",""salt"",""natural""]",clam aberta natural salt clam aberta natural salt,
food,ca0cf455-c902-5e38-ba32-cbd68816e3fa,,Amêijoa crua,Clam Raw,"Clam, Raw",,"[""amêijoa"",""ameijoa"",""clam"",""crua"",""raw""]",clam raw clam raw,
